City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,80.6,light rain,-21.2078,-159.775,
1,Bengkulu,ID,85.46,broken clouds,-3.8004,102.2655,
7,Kapaa,US,75.2,scattered clouds,22.0752,-159.319,
8,Maputo,MZ,78.8,broken clouds,-25.9653,32.5892,
10,Butaritari,KI,81.25,broken clouds,3.0707,172.7902,
13,Canutama,BR,75.22,overcast clouds,-6.5339,-64.3831,
14,Sugod,PH,79.65,overcast clouds,12.987,124.0805,
15,Nelson Bay,AU,84.99,scattered clouds,-32.7167,152.15,
17,Busselton,AU,86.68,clear sky,-33.65,115.3333,
19,Ixtapa,MX,70.0,clear sky,20.7,-105.2,
21,Amnat Charoen,TH,84.18,clear sky,15.9167,104.75,
22,Sao Filipe,CV,71.51,clear sky,14.8961,-24.4956,
24,Hithadhoo,MV,82.69,broken clouds,-0.6,73.0833,
27,Nioro,GM,70.75,broken clouds,13.35,-15.75,
29,New Norfolk,AU,73.4,moderate rain,-42.7826,147.0587,
31,Labuhan,ID,84.49,broken clouds,-6.8844,112.2051,
32,Harper,LR,78.06,clear sky,4.375,-7.7169,
35,Rikitea,PF,79.63,few clouds,-23.1203,-134.9692,
38,Saint-Philippe,RE,82.4,light rain,-21.3585,55.7679,
39,Vaini,TO,78.8,light rain,-21.2,-175.2,
44,Atuona,PF,78.85,few clouds,-9.8,-139.0333,
45,Port Augusta,AU,73.4,overcast clouds,-32.5,137.7667,
51,Kempsey,AU,81.0,few clouds,-31.0833,152.8333,
54,Victoria,HK,75.0,broken clouds,22.2855,114.1577,
55,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,
59,Mataura,NZ,73.94,scattered clouds,-46.1927,168.8643,
60,Honiara,SB,82.27,broken clouds,-9.4333,159.95,
66,Alta Floresta,BR,71.17,scattered clouds,-9.8756,-56.0861,
68,Mapua,NZ,79.0,clear sky,-41.25,173.1,
72,Vilhena,BR,70.41,broken clouds,-12.7406,-60.1458,
74,Nabire,ID,85.28,overcast clouds,-3.3667,135.4833,
77,Akyab,MM,72.46,clear sky,20.15,92.9,
78,Brazzaville,CG,75.2,light rain,-4.2658,15.2832,
80,Mitu,CO,72.23,overcast clouds,1.1983,-70.1733,
81,Picota,PE,75.07,overcast clouds,-6.9197,-76.3304,
82,Ambon,ID,89.6,light rain,-3.6954,128.1814,
86,Saint-Pierre,RE,82.4,clear sky,-21.3393,55.4781,
87,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,
91,Envira,BR,70.39,overcast clouds,-7.3,-70.2167,
92,Vila Velha,BR,78.01,scattered clouds,-20.3297,-40.2925,
95,Namibe,AO,71.24,overcast clouds,-15.1961,12.1522,
96,Mahebourg,MU,82.4,light rain,-20.4081,57.7,
97,Hobart,AU,79.0,broken clouds,-42.8794,147.3294,
100,Tabou,CI,77.59,clear sky,4.423,-7.3528,
101,Rawson,AR,70.38,clear sky,-43.3002,-65.1023,
105,Cidreira,BR,73.31,overcast clouds,-30.1811,-50.2056,
106,Santa Ines,BR,74.86,light rain,-3.6667,-45.38,
108,Jieshi,CN,71.01,scattered clouds,22.8134,115.8257,
112,Moerai,PF,78.78,overcast clouds,-22.4333,-151.3333,
119,San Andres,CO,80.6,scattered clouds,12.5847,-81.7006,
123,Faanui,PF,80.6,light rain,-16.4833,-151.75,
125,Savannah Bight,HN,77.0,clear sky,16.45,-85.85,
127,Bontang,ID,83.43,overcast clouds,0.1333,117.5,
128,Bairiki,KI,86.0,few clouds,1.3292,172.9752,
129,Mana,GF,77.13,overcast clouds,5.6592,-53.7767,
131,Chikwawa,MW,75.52,overcast clouds,-16.0335,34.8009,
132,Kapit,MY,84.42,overcast clouds,2.0167,112.9333,
135,Kavieng,PG,84.42,overcast clouds,-2.5744,150.7967,
138,Picsi,PE,73.47,few clouds,-6.7178,-79.7697,
139,Gambiran,ID,85.23,broken clouds,-6.7988,111.4951,
141,Umm Lajj,SA,70.2,clear sky,25.0213,37.2685,
146,Esperance,AU,78.8,scattered clouds,-33.8667,121.9,
152,Quang Ngai,VN,76.6,few clouds,15.1167,108.8,
160,Monywa,MM,74.23,broken clouds,22.1167,95.1333,
161,Alofi,NU,78.8,light rain,-19.0595,-169.9187,
165,Gamboma,CG,71.02,light rain,-1.8764,15.8644,
167,Pochutla,MX,77.0,clear sky,15.7432,-96.4661,
168,Ballina,AU,82.4,scattered clouds,-28.8667,153.5667,
169,Arraial Do Cabo,BR,76.37,overcast clouds,-22.9661,-42.0278,
171,Lufilufi,WS,87.8,broken clouds,-13.8745,-171.5986,
173,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,
176,Ouidah,BJ,82.4,scattered clouds,6.3631,2.0851,
182,Waingapu,ID,84.88,few clouds,-9.6567,120.2641,
183,Namatanai,PG,84.45,light rain,-3.6667,152.4333,
185,Luanda,AO,78.8,few clouds,-8.8368,13.2343,
190,Marica,BR,84.2,clear sky,-22.9194,-42.8186,
192,Murgud,IN,76.68,broken clouds,16.4,74.2,
194,Denpasar,ID,86.0,few clouds,-8.65,115.2167,
197,Sorong,ID,83.28,moderate rain,-0.8833,131.25,
198,Hilo,US,77.0,clear sky,19.7297,-155.09,
199,Ailigandi,PA,78.98,overcast clouds,9.2333,-78.0167,
200,Hambantota,LK,82.4,few clouds,6.1241,81.1185,
201,Laylay,PH,80.01,scattered clouds,13.4391,121.8202,
202,Boa Vista,BR,80.6,clear sky,2.8197,-60.6733,
204,Daru,PG,83.53,overcast clouds,-9.0763,143.2092,
212,Altamira,BR,73.89,overcast clouds,-3.2033,-52.2064,
213,Caravelas,BR,74.59,clear sky,-17.7125,-39.2481,
214,Bambous Virieux,MU,82.4,light rain,-20.3428,57.7575,
216,Marsh Harbour,BS,72.18,overcast clouds,26.5412,-77.0636,
218,Olutanga,PH,81.23,overcast clouds,7.3106,122.8464,
224,Vao,NC,75.7,overcast clouds,-22.6667,167.4833,
225,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,
227,Monte Alegre De Minas,BR,70.05,overcast clouds,-18.8706,-48.8808,
228,Basco,PH,73.04,few clouds,20.4487,121.9702,
229,Tecoanapa,MX,76.08,clear sky,16.5167,-98.75,
230,Anloga,GH,82.4,few clouds,5.7947,0.8973,
231,Karratha,AU,78.46,overcast clouds,-20.7377,116.8463,
234,Kununurra,AU,87.8,scattered clouds,-15.7667,128.7333,
235,Dingle,PH,82.87,scattered clouds,10.9995,122.6711,
240,Guider,CM,70.7,clear sky,9.9342,13.9486,
244,Flinders,AU,84.0,scattered clouds,-34.5833,150.8552,
245,Bambanglipuro,ID,86.45,overcast clouds,-7.95,110.2833,
247,Padang,ID,83.93,overcast clouds,-0.9492,100.3543,
248,Joao Camara,BR,78.8,scattered clouds,-5.5375,-35.8197,
249,Noumea,NC,84.2,clear sky,-22.2763,166.4572,
253,Sinnamary,GF,77.45,overcast clouds,5.3833,-52.95,
255,Bandarbeyla,SO,72.97,scattered clouds,9.4942,50.8122,
256,Jardim,BR,73.89,few clouds,-21.4803,-56.1381,
257,Lahad Datu,MY,82.17,overcast clouds,5.0268,118.32700000000001,
259,Ranong,TH,84.2,few clouds,9.9658,98.6348,
261,Itapema,BR,78.8,clear sky,-27.0903,-48.6114,
266,Acapulco,MX,78.8,clear sky,16.8634,-99.8901,
267,Ugoofaaru,MV,82.44,broken clouds,5.6667,73.0,
268,Roura,GF,80.6,broken clouds,4.7263,-52.3274,
270,Chicama,PE,72.66,few clouds,-7.8447,-79.1469,
271,Broken Hill,AU,87.8,overcast clouds,-31.95,141.4333,
272,Cam Ranh,VN,77.0,few clouds,11.9214,109.1591,
277,Eyl,SO,70.77,scattered clouds,7.9803,49.8164,
280,Tautira,PF,86.0,broken clouds,-17.7333,-149.15,
281,Imbituba,BR,77.0,broken clouds,-28.24,-48.6703,
283,Ihosy,MG,71.37,overcast clouds,-22.4,46.1167,
284,Bodden Town,KY,78.01,few clouds,19.2833,-81.25,
285,Lakatoro,VU,80.35,overcast clouds,-16.0999,167.4164,
287,Hirara,JP,75.2,few clouds,24.8,125.2833,
289,Port Hedland,AU,78.8,light rain,-20.3167,118.5667,
290,Airai,TL,73.0,broken clouds,-8.9266,125.4092,
302,Yuli,NG,70.09,few clouds,9.6989,10.2744,
303,Porto Novo,BJ,82.4,scattered clouds,6.4965,2.6036,
307,Georgetown,MY,86.0,few clouds,5.4112,100.3354,
308,Mae Hong Son,TH,71.6,clear sky,19.3003,97.9685,
309,Dicamay,PH,73.36,overcast clouds,16.7561,122.0037,
313,Thinadhoo,MV,82.13,clear sky,0.5333,72.9333,
317,Majene,ID,83.95,overcast clouds,-3.5403,118.9707,
320,Kiunga,PG,75.6,light rain,-6.1219,141.2906,
323,Makokou,GA,70.11,overcast clouds,0.5738,12.8642,
325,Tezu,IN,73.17,clear sky,27.9167,96.1667,
326,Panama City,PA,78.8,broken clouds,8.9936,-79.5197,
329,Mackay,AU,84.2,few clouds,-21.15,149.2,
331,Yarada,IN,77.0,haze,17.65,83.2667,
333,Bac Lieu,VN,83.98,overcast clouds,9.285,105.7244,
340,Howard Springs,AU,86.0,moderate rain,-12.497,131.047,
344,Pemangkat,ID,79.45,broken clouds,1.1667,108.9667,
354,West Bay,KY,78.01,few clouds,19.3667,-81.4167,
355,Itarema,BR,79.81,broken clouds,-2.9248,-39.9167,
357,Songkhla,TH,84.2,scattered clouds,6.8333,100.6667,
358,San Policarpo,PH,81.54,overcast clouds,12.1791,125.5072,
361,Innisfail,AU,82.0,overcast clouds,-17.5333,146.0333,
365,Paita,PE,74.48,overcast clouds,-5.0892,-81.1144,
368,Sola,VU,87.8,broken clouds,-13.8833,167.55,
377,Rock Sound,BS,73.69,overcast clouds,24.9,-76.2,
381,Meulaboh,ID,85.59,broken clouds,4.1363,96.1285,
382,Loubomo,CG,70.72,broken clouds,-4.1997,12.6739,
386,Cape Coast,GH,78.64,scattered clouds,5.1053,-1.2466,
387,Richards Bay,ZA,76.75,light rain,-28.783,32.0377,
388,Kavaratti,IN,81.41,clear sky,10.5669,72.642,
393,Pringsewu,ID,85.48,few clouds,-5.3582,104.9744,
398,Ankazoabo,MG,76.37,clear sky,-22.2833,44.5167,
401,Pisco,PE,70.0,clear sky,-13.7,-76.2167,
405,Kahului,US,77.0,few clouds,20.8947,-156.47,
406,Pundaguitan,PH,81.81,overcast clouds,6.3711,126.1689,
409,Ilhabela,BR,77.07,moderate rain,-23.7781,-45.3581,
410,Te Anau,NZ,73.31,clear sky,-45.4167,167.7167,
423,Beruwala,LK,80.19,clear sky,6.4788,79.9828,
430,Aitape,PG,76.48,light rain,-3.1374,142.3475,
431,Maragogi,BR,77.22,overcast clouds,-9.0122,-35.2225,
438,Hato Mayor,DO,73.99,scattered clouds,18.7629,-69.256,
439,Aripuana,BR,73.94,light rain,-9.1667,-60.6333,
442,Biak,ID,83.14,overcast clouds,-0.9131,122.8766,
443,Port-Gentil,GA,80.6,broken clouds,-0.7193,8.7815,
444,Isangel,VU,87.8,broken clouds,-19.55,169.2667,
447,Sibolga,ID,88.3,scattered clouds,1.7427,98.7792,
456,Chilca,PE,73.0,clear sky,-12.5211,-76.7372,
458,Amapa,BR,70.95,scattered clouds,1.0,-52.0,
461,Ankpa,NG,71.13,few clouds,7.3706,7.6253,
466,Srandakan,ID,86.76,overcast clouds,-7.9386,110.2506,
468,Port Keats,AU,80.46,overcast clouds,-14.25,129.55,
469,Kibi,GH,72.09,clear sky,6.1649,-0.5538,
471,Progreso,MX,73.4,scattered clouds,21.2833,-89.6667,
474,Goulburn,AU,84.99,overcast clouds,-34.75,149.7167,
475,Coolum Beach,AU,82.0,few clouds,-26.5333,153.1,
476,Sao Gabriel Da Cachoeira,BR,73.76,overcast clouds,-0.1303,-67.0892,
477,Dicabisagan,PH,74.82,broken clouds,17.0818,122.4157,
481,Mbandaka,CD,72.07,overcast clouds,0.0487,18.2603,
486,Mumford,GH,79.43,scattered clouds,5.2618,-0.759,
495,Qui Nhon,VN,75.24,overcast clouds,13.7667,109.2333,
497,Ambilobe,MG,75.18,overcast clouds,-13.2,49.05,
500,Lorengau,PG,83.35,light rain,-2.0226,147.2712,
502,Souillac,MU,82.4,light rain,-20.5167,57.5167,
506,Keti Bandar,PK,71.8,clear sky,24.1447,67.4497,
511,Bima,ID,85.19,scattered clouds,-8.4667,118.7167,
522,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,
528,Pouembout,NC,81.09,overcast clouds,-21.1333,164.9,
529,Wodonga,AU,80.6,light rain,-36.1167,146.8833,
530,Port Shepstone,ZA,74.68,light rain,-30.7414,30.455,
538,Kuala Terengganu,MY,80.6,scattered clouds,5.3302,103.1408,
543,Puerto El Triunfo,SV,77.0,clear sky,13.2833,-88.55,
544,Lodwar,KE,75.43,broken clouds,3.1191,35.5973,
545,Salinopolis,BR,79.25,moderate rain,-0.6136,-47.3561,
546,Bowen,AU,86.0,scattered clouds,-20.0167,148.2333,
549,Atambua,ID,81.25,broken clouds,-9.1061,124.8925,
550,Itoman,JP,71.6,broken clouds,26.1247,127.6694,
551,San Borja,BO,74.25,broken clouds,-14.8167,-66.85,
554,Compostela,PH,82.47,overcast clouds,7.6731,126.0889,
556,Port Moresby,PG,80.6,broken clouds,-9.4431,147.1797,
561,Labuan,MY,84.2,few clouds,5.2767,115.2417,
562,Marawi,PH,78.01,light rain,7.9986,124.2928,
