City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Avarua,CK,-21.2078,-159.775,80.6,78,75,5.75,light rain,2021-02-01 03:39:33
1,Bengkulu,ID,-3.8004,102.2655,85.46,59,77,5.99,broken clouds,2021-02-01 03:39:39
2,Adrar,MR,20.5022,-10.0711,62.76,28,99,7.54,overcast clouds,2021-02-01 03:40:42
3,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,75,20,3.44,few clouds,2021-02-01 03:39:36
4,Monki,PL,53.405,22.7979,12.99,88,20,7.96,few clouds,2021-02-01 03:40:42
5,Albany,US,42.6001,-73.9662,16.0,55,100,2.26,overcast clouds,2021-02-01 03:39:29
6,Ilulissat,GL,69.2167,-51.1,8.6,52,75,6.91,broken clouds,2021-02-01 03:39:14
7,Kapaa,US,22.0752,-159.319,75.2,69,40,10.36,scattered clouds,2021-02-01 03:38:49
8,Maputo,MZ,-25.9653,32.5892,78.8,89,75,6.91,broken clouds,2021-02-01 03:40:42
9,Yellowknife,CA,62.456,-114.3525,-5.8,77,75,4.61,light snow,2021-02-01 03:38:25
10,Butaritari,KI,3.0707,172.7902,81.25,82,53,14.03,broken clouds,2021-02-01 03:39:32
11,Jamestown,US,42.097,-79.2353,27.0,80,90,8.05,light snow,2021-02-01 03:37:58
12,Mar Del Plata,AR,-38.0023,-57.5575,64.0,72,75,11.5,broken clouds,2021-02-01 03:39:43
13,Canutama,BR,-6.5339,-64.3831,75.22,93,93,1.21,overcast clouds,2021-02-01 03:39:51
14,Sugod,PH,12.987,124.0805,79.65,79,88,13.82,overcast clouds,2021-02-01 03:40:43
15,Nelson Bay,AU,-32.7167,152.15,84.99,61,40,12.66,scattered clouds,2021-02-01 03:40:43
16,Shu,KZ,43.5983,73.7614,35.6,84,100,4.68,overcast clouds,2021-02-01 03:40:43
17,Busselton,AU,-33.65,115.3333,86.68,29,0,6.11,clear sky,2021-02-01 03:39:33
18,Ushuaia,AR,-54.8,-68.3,50.0,76,75,13.8,light intensity drizzle,2021-02-01 03:39:31
19,Ixtapa,MX,20.7,-105.2,70.0,94,1,1.92,clear sky,2021-02-01 03:39:59
20,Sterling,US,39.0062,-77.4286,30.2,86,90,9.22,light intensity drizzle,2021-02-01 03:36:39
21,Amnat Charoen,TH,15.9167,104.75,84.18,44,6,11.65,clear sky,2021-02-01 03:40:44
22,Sao Filipe,CV,14.8961,-24.4956,71.51,75,0,6.93,clear sky,2021-02-01 03:40:44
23,Seoul,KR,37.5683,126.9778,50.0,66,75,10.36,broken clouds,2021-02-01 03:38:52
24,Hithadhoo,MV,-0.6,73.0833,82.69,73,76,7.7,broken clouds,2021-02-01 03:36:59
25,Clyde River,CA,70.4692,-68.5914,-4.0,84,90,23.02,mist,2021-02-01 03:38:30
26,Najran,SA,17.4924,44.1277,51.8,58,0,0.89,clear sky,2021-02-01 03:37:34
27,Nioro,GM,13.35,-15.75,70.75,19,68,4.21,broken clouds,2021-02-01 03:40:45
28,Upernavik,GL,72.7868,-56.1549,5.14,93,100,8.86,overcast clouds,2021-02-01 03:39:50
29,New Norfolk,AU,-42.7826,147.0587,73.4,53,75,11.5,moderate rain,2021-02-01 03:39:32
30,Chokurdakh,RU,70.6333,147.9167,-18.29,87,100,11.25,overcast clouds,2021-02-01 03:39:41
31,Labuhan,ID,-6.8844,112.2051,84.49,74,81,13.89,broken clouds,2021-02-01 03:37:02
32,Harper,LR,4.375,-7.7169,78.06,89,6,7.38,clear sky,2021-02-01 03:40:45
33,San Patricio,US,28.017,-97.5169,59.0,44,1,9.22,clear sky,2021-02-01 03:39:40
34,Codrington,AU,-38.2667,141.9667,63.66,72,80,13.82,broken clouds,2021-02-01 03:39:39
35,Rikitea,PF,-23.1203,-134.9692,79.63,64,19,6.71,few clouds,2021-02-01 03:39:30
36,Punta Arenas,CL,-53.15,-70.9167,53.6,62,90,29.93,overcast clouds,2021-02-01 03:37:13
37,Tuatapere,NZ,-46.1333,167.6833,63.82,65,71,5.28,broken clouds,2021-02-01 03:40:46
