City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pisco,-13.7,-76.2167,69.8,78,0,10.36,PE,2021-01-31 05:24:36
1,East London,-33.0153,27.9116,69.8,94,75,2.3,ZA,2021-01-31 05:27:46
2,Hasaki,35.7333,140.8333,54.0,32,20,20.71,JP,2021-01-31 05:24:41
3,Lorengau,-2.0226,147.2712,82.92,80,98,11.48,PG,2021-01-31 05:25:38
4,Jamestown,42.097,-79.2353,19.99,73,90,6.91,US,2021-01-31 05:24:39
5,Payo,-3.7508,103.6372,78.55,78,100,3.13,ID,2021-01-31 05:27:47
6,Mackay,-21.15,149.2,86.0,65,6,19.57,AU,2021-01-31 05:27:47
7,Pitimbu,-7.4706,-34.8086,77.0,88,20,4.61,BR,2021-01-31 05:27:47
8,Dunedin,-45.8742,170.5036,59.0,80,68,24.0,NZ,2021-01-31 05:27:17
9,Awbari,26.5921,12.7805,54.39,41,0,9.44,LY,2021-01-31 05:27:47
10,Ushuaia,-54.8,-68.3,46.4,66,0,10.36,AR,2021-01-31 05:22:44
11,Albany,42.6001,-73.9662,9.0,59,18,3.74,US,2021-01-31 05:24:31
12,Fairbanks,64.8378,-147.7164,-4.0,77,90,0.76,US,2021-01-31 05:24:35
13,Ponta Do Sol,32.6667,-17.1,57.99,74,12,3.0,PT,2021-01-31 05:26:14
14,Alice Springs,-23.7,133.8833,96.8,19,40,8.05,AU,2021-01-31 05:27:48
15,Lloydminster,53.2835,-110.0016,-0.4,78,40,5.75,CA,2021-01-31 05:26:58
16,Sampit,-2.5333,112.95,93.45,48,100,2.95,ID,2021-01-31 05:24:20
17,Mataura,-46.1927,168.8643,72.77,41,95,3.89,NZ,2021-01-31 05:24:33
18,Palauig,15.435,119.9045,80.51,50,100,1.68,PH,2021-01-31 05:27:48
19,Mau,25.95,83.55,61.95,41,0,4.54,IN,2021-01-31 05:27:48
20,Georgetown,5.4112,100.3354,89.6,45,20,5.75,MY,2021-01-31 05:19:59
21,Saskylakh,71.9167,114.0833,-32.78,83,100,8.66,RU,2021-01-31 05:24:51
22,Port Elizabeth,-33.918,25.5701,68.0,77,0,2.3,ZA,2021-01-31 05:24:32
23,Coahuayana,18.7333,-103.6833,72.7,89,1,2.55,MX,2021-01-31 05:24:44
24,Prainha,-1.8,-53.48,72.93,91,20,3.44,BR,2021-01-31 05:27:49
25,Paratinga,-12.6906,-43.1842,77.63,53,88,6.15,BR,2021-01-31 05:27:49
26,Sur,22.5667,59.5289,73.67,43,0,2.17,OM,2021-01-31 05:24:31
27,Seoul,37.5683,126.9778,46.4,34,75,6.91,KR,2021-01-31 05:23:37
28,Kautokeino,69.0125,23.0412,15.62,95,100,11.5,NO,2021-01-31 05:27:49
29,Karratha,-20.7377,116.8463,98.31,35,100,8.63,AU,2021-01-31 05:25:06
30,Nola,40.922,14.5329,55.0,81,100,1.99,IT,2021-01-31 05:27:50
31,Ati,13.2154,18.3353,65.28,26,1,7.7,TD,2021-01-31 05:27:50
32,Qaanaaq,77.484,-69.3632,-4.56,85,100,0.83,GL,2021-01-31 05:24:51
33,Colac,-38.3333,143.5833,66.0,77,1,1.01,AU,2021-01-31 05:27:50
34,Dikson,73.5069,80.5464,-32.67,80,0,5.03,RU,2021-01-31 05:24:34
35,Bethel,41.3712,-73.414,15.01,74,1,4.9,US,2021-01-31 05:25:14
36,Longview,32.5007,-94.7405,60.8,88,90,9.22,US,2021-01-31 05:25:16
37,Kaitangata,-46.2817,169.8464,64.0,76,100,5.01,NZ,2021-01-31 05:24:32
38,Am Timan,11.0297,20.2827,65.7,25,0,7.0,TD,2021-01-31 05:24:27
39,Punta Arenas,-53.15,-70.9167,48.2,71,0,21.85,CL,2021-01-31 05:27:51
40,Barrow,71.2906,-156.7887,-16.6,69,90,6.91,US,2021-01-31 05:24:32
41,Tiksi,71.6872,128.8694,-27.13,86,100,4.25,RU,2021-01-31 05:25:05
42,Yellowknife,62.456,-114.3525,-18.0,76,1,5.75,CA,2021-01-31 05:24:39
43,Ciudad Bolivar,8.1222,-63.5497,76.23,79,30,10.83,VE,2021-01-31 05:27:51
44,Gigmoto,13.7796,124.39,78.78,75,100,17.76,PH,2021-01-31 05:27:51
45,Sorong,-0.8833,131.25,82.49,75,100,11.74,ID,2021-01-31 05:27:51
46,Hobart,-42.8794,147.3294,73.0,49,75,10.36,AU,2021-01-31 05:20:19
47,Hilo,19.7297,-155.09,75.2,69,75,4.61,US,2021-01-31 05:24:42
48,Saint-Pierre,-21.3393,55.4781,87.8,55,0,9.22,RE,2021-01-31 05:25:07
49,Sao Joao Da Barra,-21.6403,-41.0511,76.23,83,10,19.33,BR,2021-01-31 05:27:52
50,Busselton,-33.65,115.3333,93.0,34,0,3.0,AU,2021-01-31 05:24:35
51,Narsaq,60.9167,-46.05,39.2,28,75,29.93,GL,2021-01-31 05:25:22
52,Nishihara,26.1842,127.7558,69.8,37,40,11.5,JP,2021-01-31 05:27:52
53,Kieta,-6.2167,155.6333,84.67,66,100,15.9,PG,2021-01-31 05:26:30
54,Iquitos,-3.7481,-73.2472,75.2,94,75,2.3,PE,2021-01-31 05:24:28
55,Atuona,-9.8,-139.0333,79.23,76,74,17.11,PF,2021-01-31 05:24:36
56,Otjimbingwe,-22.35,16.1333,71.26,51,9,1.41,NA,2021-01-31 05:26:46
57,Chuy,-33.6971,-53.4616,68.41,91,100,16.98,UY,2021-01-31 05:24:39
58,Belmonte,-15.8631,-38.8828,73.4,88,40,3.44,BR,2021-01-31 05:27:53
59,Bluff,-46.6,168.3333,57.6,77,99,11.63,NZ,2021-01-31 05:24:39
60,Opuwo,-18.0607,13.84,69.46,59,100,2.35,NA,2021-01-31 05:25:16
61,Pandan Niog,6.2282,120.5631,81.59,76,100,14.58,PH,2021-01-31 05:23:10
62,Luderitz,-26.6481,15.1594,63.14,69,0,16.69,NA,2021-01-31 05:23:17
63,Kapaa,22.0752,-159.319,73.4,88,75,18.41,US,2021-01-31 05:24:47
64,Cape Town,-33.9258,18.4232,66.99,88,75,12.66,ZA,2021-01-31 05:27:03
65,Vanimo,-2.6741,141.3028,85.86,64,91,12.35,PG,2021-01-31 05:25:43
66,Saint-Philippe,-21.3585,55.7679,87.8,55,0,9.22,RE,2021-01-31 05:24:43
67,Chokurdakh,70.6333,147.9167,-30.86,85,11,8.61,RU,2021-01-31 05:25:05
68,Vao,-22.6667,167.4833,76.73,79,68,21.41,NC,2021-01-31 05:25:39
69,Talnakh,69.4865,88.3972,-30.62,71,0,7.63,RU,2021-01-31 05:24:57
70,Upernavik,72.7868,-56.1549,-9.24,85,84,4.61,GL,2021-01-31 05:24:53
71,Bowen,-20.0167,148.2333,82.4,74,75,12.66,AU,2021-01-31 05:27:54
72,Bredasdorp,-34.5322,20.0403,64.99,89,0,1.01,ZA,2021-01-31 05:24:37
73,Khatanga,71.9667,102.5,-47.65,78,43,1.28,RU,2021-01-31 05:24:40
74,Cidreira,-30.1811,-50.2056,74.44,91,92,6.04,BR,2021-01-31 05:24:31
75,Klaksvik,62.2266,-6.589,30.2,80,75,14.97,FO,2021-01-31 05:24:43
76,Buala,-8.145,159.5921,84.13,74,99,15.75,SB,2021-01-31 05:27:54
77,Tasiilaq,65.6145,-37.6368,17.6,53,75,5.75,GL,2021-01-31 05:24:36
78,Mahebourg,-20.4081,57.7,84.2,70,40,10.36,MU,2021-01-31 05:24:32
79,Victor Harbor,-35.5667,138.6167,69.01,64,0,1.99,AU,2021-01-31 05:27:55
80,Ribeira Grande,38.5167,-28.7,62.92,94,96,17.76,PT,2021-01-31 05:24:33
81,Kemijarvi,66.7131,27.4306,10.65,96,100,3.11,FI,2021-01-31 05:24:45
82,Vila Velha,-20.3297,-40.2925,77.0,83,20,5.75,BR,2021-01-31 05:27:55
83,Qandala,11.472,49.8728,72.21,62,18,4.76,SO,2021-01-31 05:27:55
84,Arraial Do Cabo,-22.9661,-42.0278,76.24,83,35,25.21,BR,2021-01-31 05:27:55
85,Hualmay,-11.0964,-77.6139,70.48,78,98,8.14,PE,2021-01-31 05:24:50
86,Hambantota,6.1241,81.1185,82.4,83,40,8.05,LK,2021-01-31 05:27:55
87,Liverpool,53.4106,-2.9779,33.01,86,100,10.36,GB,2021-01-31 05:25:24
88,Podporozhye,60.9112,34.1706,21.83,98,100,5.32,RU,2021-01-31 05:27:56
89,Lazurne,46.084,32.5295,35.6,93,0,6.71,UA,2021-01-31 05:27:56
90,Chachoengsao,13.6167,101.4167,89.01,43,0,11.59,TH,2021-01-31 05:26:02
91,Zhigansk,66.7697,123.3711,-44.03,75,73,5.19,RU,2021-01-31 05:24:35
92,Nador,35.174,-2.9287,59.0,67,0,31.07,MA,2021-01-31 05:26:09
93,Butaritari,3.0707,172.7902,81.61,80,61,17.02,KI,2021-01-31 05:24:54
94,Jinka,5.65,36.65,67.37,41,42,3.09,ET,2021-01-31 05:27:56
95,Castro,-24.7911,-50.0119,64.2,95,100,6.17,BR,2021-01-31 05:24:33
96,Salalah,17.0151,54.0924,73.4,56,40,5.75,OM,2021-01-31 05:24:51
97,Tuatapere,-46.1333,167.6833,64.15,56,100,3.53,NZ,2021-01-31 05:25:23
98,Barcelos,41.5388,-8.6151,51.8,100,75,6.91,PT,2021-01-31 05:23:42
99,Sitka,57.0531,-135.33,37.4,75,1,3.44,US,2021-01-31 05:24:46
100,Priverno,41.4691,13.1856,55.0,84,100,5.01,IT,2021-01-31 05:27:57
101,Makakilo City,21.3469,-158.0858,75.2,68,1,5.75,US,2021-01-31 05:27:57
102,Santiago,-33.4569,-70.6483,66.0,88,90,2.3,CL,2021-01-31 05:25:32
103,Faanui,-16.4833,-151.75,82.54,68,98,7.81,PF,2021-01-31 05:24:35
104,Pacific Grove,36.6177,-121.9166,51.8,76,75,5.7,US,2021-01-31 05:27:57
105,Vaini,-21.2,-175.2,77.0,94,75,5.75,TO,2021-01-31 05:24:41
106,Avarua,-21.2078,-159.775,78.8,83,75,2.3,CK,2021-01-31 05:24:40
107,Palaikastron,35.2,26.25,55.45,70,87,0.31,GR,2021-01-31 05:26:17
108,Hithadhoo,-0.6,73.0833,81.93,79,39,14.58,MV,2021-01-31 05:24:44
109,Tel Aviv-Yafo,32.0805,34.7805,55.4,54,0,11.5,IL,2021-01-31 05:27:58
110,Churapcha,62.0025,132.4325,-35.7,79,100,3.58,RU,2021-01-31 05:27:58
111,Lazaro Cardenas,17.9583,-102.2,74.68,85,23,3.27,MX,2021-01-31 05:25:24
112,Mount Isa,-20.7333,139.5,104.0,21,40,8.05,AU,2021-01-31 05:27:58
113,Mikhaylov,54.2292,39.0186,34.47,97,100,18.16,RU,2021-01-31 05:27:58
114,Carnarvon,-24.8667,113.6333,91.4,52,0,14.97,AU,2021-01-31 05:24:58
115,Whitecourt,54.1502,-115.6855,3.2,85,1,6.91,CA,2021-01-31 05:27:59
116,Deep River,46.1001,-77.4995,-4.0,71,1,2.3,CA,2021-01-31 05:27:59
117,Arlit,18.7369,7.3853,55.9,31,10,2.77,NE,2021-01-31 05:27:59
118,Sept-Iles,50.2001,-66.3821,21.2,63,78,5.75,CA,2021-01-31 05:25:34
119,Porto Torres,40.835,8.3972,55.4,67,75,12.66,IT,2021-01-31 05:27:59
120,Saintes,45.6667,-0.75,51.8,100,90,12.66,FR,2021-01-31 05:27:59
121,Abbeville,50.1,1.8333,36.0,73,91,10.98,FR,2021-01-31 05:27:59
122,Olafsvik,64.8945,-23.7142,22.93,88,21,15.7,IS,2021-01-31 05:27:52
123,Ketchikan,55.3422,-131.6461,32.0,100,1,6.04,US,2021-01-31 05:27:59
124,Manokwari,-0.8667,134.0833,79.68,82,100,16.6,ID,2021-01-31 05:28:00
125,Dudinka,69.4058,86.1778,-34.56,77,0,7.61,RU,2021-01-31 05:28:00
126,Pangnirtung,66.1451,-65.7125,-7.2,78,61,3.71,CA,2021-01-31 05:24:46
127,Banikoara,11.2985,2.4386,66.76,23,0,6.02,BJ,2021-01-31 05:28:00
128,Coihaique,-45.5752,-72.0662,46.4,81,0,0.78,CL,2021-01-31 05:25:17
129,Esperance,-33.8667,121.9,84.2,23,0,8.05,AU,2021-01-31 05:24:51
130,Tezu,27.9167,96.1667,72.95,23,22,4.34,IN,2021-01-31 05:24:57
131,La Rioja,42.25,-2.5,41.45,70,87,15.17,ES,2021-01-31 05:28:00
132,Kodiak,57.79,-152.4072,28.4,50,1,13.8,US,2021-01-31 05:24:37
133,Rikitea,-23.1203,-134.9692,79.41,73,37,9.48,PF,2021-01-31 05:24:33
134,Palatka,29.6486,-81.6376,55.99,91,56,7.49,US,2021-01-31 05:28:01
135,Tuktoyaktuk,69.4541,-133.0374,-32.8,68,40,3.44,CA,2021-01-31 05:24:32
136,Nerchinskiy Zavod,51.3088,119.61,-16.69,84,36,2.8,RU,2021-01-31 05:28:01
137,Healdsburg,38.6105,-122.8692,44.01,81,20,4.61,US,2021-01-31 05:27:31
138,Berlevag,70.8578,29.0864,25.38,95,100,20.18,NO,2021-01-31 05:25:15
